image,experiment,source,source_param,channel_code,channel_param,channel,channel_p,psnr_db,mse,accuracy_exact,accuracy_tol5,ber_raw,ber_decoded,n_info_bits,n_tx_bits,code_rate,compression_ratio,encode_ms,decode_ms
noise,rd_dct,dct,20,none,3,bsc,0.0,28.310883718660925,95.93829345703125,0.03961181640625,0.42559814453125,0.0,0.0,81956,81956,1.0,1.5992971838547514,5.508199999894714,6.234799999674578
noise,rd_dct,dct,30,none,3,bsc,0.0,28.734666674634965,87.0189208984375,0.0418701171875,0.4508056640625,0.0,0.0,81956,81956,1.0,1.5992971838547514,6.759800000054383,8.1942000001618
noise,rd_dct,dct,50,none,3,bsc,0.0,29.422682503596057,74.269775390625,0.04693603515625,0.4803466796875,0.0,0.0,98340,98340,1.0,1.332845230831808,5.050700000083452,3.3551000001352804
noise,rd_dct,dct,70,none,3,bsc,0.0,30.370282466380274,59.710693359375,0.0546875,0.5323486328125,0.0,0.0,114724,114724,1.0,1.1424985181827692,4.141700000218407,4.755899999963731
noise,rd_dct,dct,85,none,3,bsc,0.0,33.33548350046273,30.1669921875,0.076171875,0.68719482421875,0.0,0.0,131108,131108,1.0,0.9997254172132898,5.069100000127946,3.332899999804795
noise,rd_dct,dct,95,none,3,bsc,0.0,42.266595480258445,3.8585205078125,0.2078857421875,0.99462890625,0.0,0.0,147492,147492,1.0,0.8886719279689745,3.685199999836186,4.476200000226527
noise,rd_quantize,quantize,1,none,3,bsc,0.0,15.215095278385952,1956.909912109375,0.00115966796875,0.0123291015625,0.0,0.0,16416,16416,1.0,7.984405458089668,0.23929999997562845,0.19020000036107376
noise,rd_quantize,quantize,2,none,3,bsc,0.0,23.006600100365112,325.402099609375,0.017822265625,0.18255615234375,0.0,0.0,32800,32800,1.0,3.9960975609756098,0.6153000003905618,0.4079000000274391
noise,rd_quantize,quantize,3,none,3,bsc,0.0,28.819496393525114,85.335693359375,0.03277587890625,0.345703125,0.0,0.0,49184,49184,1.0,2.664931685100846,0.6713000002491754,0.4260999999132764
noise,rd_quantize,quantize,4,none,3,bsc,0.0,34.7691487143866,21.685302734375,0.06329345703125,0.6817626953125,0.0,0.0,65568,65568,1.0,1.9990239141044412,0.7843000003049383,0.8062999995672726
noise,rd_quantize,quantize,5,none,3,bsc,0.0,40.674483215835984,5.567138671875,0.12567138671875,1.0,0.0,0.0,81952,81952,1.0,1.5993752440452949,0.7762000000184344,0.5437999998321175
noise,rd_quantize,quantize,6,none,3,bsc,0.0,46.33118672484112,1.513427734375,0.25213623046875,1.0,0.0,0.0,98336,98336,1.0,1.332899446794663,1.2992000001759152,0.5695999998351908
noise,rd_quantize,quantize,8,none,3,bsc,0.0,inf,0.0,1.0,1.0,0.0,0.0,131104,131104,1.0,0.9997559189650964,1.3401000001067587,0.9182000003420399
noise,bsc_sweep,dct,60,none,1,bsc,0.0,29.770482319635097,68.55389404296875,0.0518798828125,0.4962158203125,0.0,0.0,98340,98340,1.0,1.332845230831808,3.555199999937031,5.045899999913672
noise,bsc_sweep,dct,60,none,1,bsc,0.001,17.55212574942434,1142.5304565429688,0.03985595703125,0.3948974609375,0.0008948545861297539,0.0008948545861297539,98340,98340,1.0,1.332845230831808,3.4938999997393694,4.656300000078772
noise,bsc_sweep,dct,60,none,1,bsc,0.003,13.540227572312988,2877.7800903320312,0.02166748046875,0.2457275390625,0.002725238966849705,0.002725238966849705,98340,98340,1.0,1.332845230831808,4.909199999929115,6.357600000228558
noise,bsc_sweep,dct,60,none,1,bsc,0.01,9.201350471089667,7815.293884277344,0.00653076171875,0.06719970703125,0.009884075655887736,0.009884075655887736,98340,98340,1.0,1.332845230831808,5.548500000259082,5.39359999993394
noise,bsc_sweep,dct,60,none,1,bsc,0.03,6.789035958223183,13619.9892578125,0.00262451171875,0.02392578125,0.02965222696766321,0.02965222696766321,98340,98340,1.0,1.332845230831808,3.8958000000093307,5.242599999746744
noise,bsc_sweep,dct,60,none,1,bsc,0.1,6.823593451934867,13512.042907714844,0.00146484375,0.01617431640625,0.10165751474476306,0.10165751474476306,98340,98340,1.0,1.332845230831808,3.785899999911635,27.89940000002389
noise,bsc_sweep,dct,60,repetition,3,bsc,0.0,29.770482319635097,68.55389404296875,0.0518798828125,0.4962158203125,0.0,0.0,98340,295020,0.3333333333333333,1.332845230831808,4.313700000238896,5.906400000185386
noise,bsc_sweep,dct,60,repetition,3,bsc,0.001,29.770482319635097,68.55389404296875,0.0518798828125,0.4962158203125,0.0010406074164463427,0.0,98340,295020,0.3333333333333333,1.332845230831808,4.286100000172155,8.342800000264106
noise,bsc_sweep,dct,60,repetition,3,bsc,0.003,28.641784806300798,88.9000244140625,0.0513916015625,0.490234375,0.0030879262422886583,5.08440105755542e-05,98340,295020,0.3333333333333333,1.332845230831808,4.769299999679788,5.8934999997291015
noise,bsc_sweep,dct,60,repetition,3,bsc,0.01,21.81989132445357,427.6527099609375,0.04803466796875,0.46307373046875,0.010117958104535286,0.00029489526133821435,98340,295020,0.3333333333333333,1.332845230831808,6.609600000047067,5.055699999957142
noise,bsc_sweep,dct,60,repetition,3,bsc,0.03,13.548607898698757,2872.2323608398438,0.0244140625,0.26629638671875,0.02987594061419565,0.002399837299166158,98340,295020,0.3333333333333333,1.332845230831808,5.582600000252569,6.9719999996777915
noise,bsc_sweep,dct,60,repetition,3,bsc,0.1,7.138900072327326,12565.806091308594,0.00140380859375,0.01739501953125,0.10079655616568368,0.02807606263982103,98340,295020,0.3333333333333333,1.332845230831808,5.385599999954138,7.303000000320026
noise,bsc_sweep,dct,60,repetition,5,bsc,0.0,29.770482319635097,68.55389404296875,0.0518798828125,0.4962158203125,0.0,0.0,98340,491700,0.2,1.332845230831808,7.650399999874935,9.228000000348402
noise,bsc_sweep,dct,60,repetition,5,bsc,0.001,29.770482319635097,68.55389404296875,0.0518798828125,0.4962158203125,0.0010392515761643278,0.0,98340,491700,0.2,1.332845230831808,8.00230000004376,9.56480000013471
